user_name,from_key,to_key,flight_time,dwell_time
vishnu,A,A,,159.0
vishnu,Shift,Shift,,301.0
vishnu, , ,,130.0
vishnu, ,g,377.0,
vishnu, ,o,496.0,
vishnu,g,g,,134.0
vishnu,o,o,,89.0
vishnu,o,o,61.0,
vishnu,o,f,165.0,
vishnu,o,o,,125.0
vishnu,o, ,135.0,
vishnu,f,f,,201.0
vishnu, , ,,160.0
vishnu, ,Backspace,382.0,
vishnu,Backspace,Backspace,,120.0
vishnu,Backspace,Backspace,122.0,
vishnu,Backspace,Backspace,,70.0
vishnu,Backspace,d,124.0,
vishnu,Backspace, ,263.0,
vishnu,d,d,,172.0
vishnu, , ,,163.0
vishnu, ,w,200.0,
vishnu,w,w,,85.0
vishnu,w,a,79.0,
vishnu,a,a,,132.0
vishnu,a,y,16.0,
vishnu,y,y,,90.0
vishnu,y, ,209.0,
vishnu, , ,,152.0
vishnu, ,t,81.0,
vishnu, ,o,189.0,
vishnu,t,t,,139.0
vishnu,t, ,80.0,
vishnu,o,o,,169.0
vishnu, , ,,117.0
vishnu, ,i,45.0,
vishnu,i,i,,118.0
vishnu,i,n,77.0,
vishnu,n,n,,127.0
vishnu,n,c,219.0,
vishnu,c,c,,90.0
vishnu,c,r,375.0,
vishnu,r,r,,151.0
vishnu,r,e,504.0,
vishnu,e,e,,186.0
vishnu,e,a,39.0,
vishnu,a,a,,122.0
vishnu,a,s,89.0,
vishnu,a,e,203.0,
vishnu,s,s,,212.0
vishnu,s, ,76.0,
vishnu,e,e,,195.0
vishnu, , ,,165.0
vishnu, ,y,312.0,
vishnu, ,o,347.0,
vishnu,y,y,,94.0
vishnu,y,u,139.0,
vishnu,o,o,,226.0
vishnu,u,u,,128.0
vishnu,u,t,607.0,
vishnu,u, ,704.0,
vishnu,t,t,,126.0
vishnu, , ,,148.0
vishnu, ,t,22.0,
vishnu,t,t,,124.0
vishnu,t,y,54.0,
vishnu,y,y,,138.0
vishnu,y,Backspace,216.0,
vishnu,Backspace,Backspace,,64.0
vishnu,Backspace,Backspace,120.0,
vishnu,Backspace,Backspace,,29.0
vishnu,Backspace,Backspace,106.0,
vishnu,Backspace,Backspace,,75.0
vishnu,Backspace,Backspace,485.0,
vishnu,Backspace,Backspace,,87.0
vishnu,Backspace,r,47.0,
vishnu,Backspace, ,218.0,
vishnu,r,r,,181.0
vishnu, , ,,105.0
vishnu, ,t,470.0,
vishnu, ,y,572.0,
vishnu,t,t,,111.0
vishnu,t,p,97.0,
vishnu,y,y,,168.0
vishnu,p,p,,158.0
vishnu,p,i,33.0,
vishnu,i,i,,176.0
vishnu,i,n,3.0,
vishnu,i,g,98.0,
vishnu,n,n,,162.0
vishnu,n, ,86.0,
vishnu,g,g,,209.0
